Artist,Song,Lyrics,Year
Hank Williams,Lovesick Blues,"I got a feelin' called the blues, oh Lord
Since my baby said goodbye
Lord, I don't know what I'll do
All I do is sit and sigh, oh Lord
That last long day, she said goodbye
Well Lord, I thought I would cry
She'll do me, she'll do you
She's got that kind of lovin'
Lord, I love to hear her when she calls me sweet da-a-addy
Such a beautiful dream
I hate to think it's all over
I've lost my heart it seems
I've grown so used to you somehow
Well, I'm nobody's sugar daddy now
And I'm lo-o-onesome
I got the lovesick blues
Well, I'm in love, I'm in love with a beautiful gal
That's what's the matter with me
Well, I'm in love, I'm in love with a beautiful gal
But she don't care about me
Lord, I tried and tried to keep her satisfied
But she just wouldn't stay
So now that she is leavin'
This is all I can say
I got a feelin' called the blues, oh Lord
Since my baby said goodbye
Lord, I don't know what I'll do
All I do is sit and sigh, oh Lord
That last long day she said goodbye
Well Lord, I thought I would cry
She'll do me, she'll do you
She's got that kind of lovin'
Lord, I love to hear her when she calls me sweet da-a-addy
Such a beautiful dream
I hate to think it's all over
I've lost my heart it seems
I've grown so used to you somehow
Lord, I'm nobody's sugar daddy now
And I'm lo-o-onesome
I got the lovesick blues",1949
Hank Snow,I'm Moving' On,"That big eight-wheeler, rollin' down the track
Means your true-lovin' daddy ain't comin' back
'Cause I'm movin' on, I'll soon be gone
You were flyin' too high, for my little old sky
So I'm movin' on.

That big loud whistle, as it blew and blew
Said hello to the southland, We're comin' to you
And we're movin' on, oh, hear my song
You had the laugh on me, so I set you free
And I'm movin' on.

Mister fireman, won't you please listen to me
'Cause I got a pretty mama in Tennessee
Keep movin' me on, keep rollin' on
So shovel the coal, let this rattler roll
And keep movin' me on.

Mister Engineer, take that throttle in hand
This rattler's the fastest in the southern land
To deep movin' me on, keep rollin' on
You gonna ease my mind, put me there on time
And keep rollin' on.

I've told you baby, from time to time
But you just wouldn't listen or pay me no mind
Now I'm movin' on, I'm rollin' on
You've broken your vow, and it's all over now
So I'm movin' on.

You've swtched your engine, now I ain't got time
For a triflin' woman on my main line
Cause I'm movin on, you done your daddy wrong
I warned you twice, now you can settle the price
'Cause I'm movin on.

But someday baby, when you've had your play
You're gonna want your daddy, but your daddy will say
Keep movin' on, you stayed away too long
I'm through with you, too bad you're blue
Keep movin' on.",1950
Lefty Frizzell,If You've Got the Money I've Got the Time,"If you've got the money, I've got the time
We'll go honky tonkin' and we'll have a time
We'll make all the night spots, dance, drink beer and wine
If you've got the money, honey, I've got the time

There ain't no use to tarry so let's start out tonight
We'll spread joy, oh boy, oh boy, and we'll spread it right
We'll have more fun, baby, all the way down the line
If you've got the money, honey, I've got the time

If you've got the money, I've got the time
We'll go honky tonkin' and we'll have a time
Bring along your Cadillac, leave my old wreck behind
If you've got the money, honey, I've got the time

Yes, we'll go honky tonkin' make every club in town
We'll go to the park where it's dark, we won't fool around
But if you run short of money, I'll run short of time
'Cause you with no more money, honey, I've no more time

If you've got the money, I've got the time
We'll go honky tonkin' and we'll have a time
We'll make all the nightspots, dance, drink beer and wine
If you've got the money, honey, I've got the time",1950
George Jones,White Lightning,"Well in North Carolina way back in the hills me and my old pappy and he had him a still
He brewed white lightnin till the sun went down
Then he'd fill up a jug and he'd pass it around
Mighty mighty pleasin my pappy's corn squeezin (whew white lightnin)
Well the G men T men revenoers too searchin for the place where he made his brew
They were lookin tryin' to book him but my pappy kept on cookin
(Whew white lightnin)

Well I asked my old pappy why he called his brew
White lightnin stead of mountain dew
I took a little sip and right away I knew
And my eyes bugged out and my face turned blue
Light has started flashin thunder started krashin (whew white lightnin)
Well the G men T men...

Well a city slicker came and he said I'm tough
I think I want to taste that powerful stuff
He took one slug and he drank it right down I heard him moanin' as he hit the ground
Mighty mighty pleasin you'r pappy's corn squeezin (whew white lightnin)
Well the G men T men. ",1959
Buck Owens,Love's Gonna Live Here,"Oh the sun's gonna shine, in my life once more
Love's gonna live here again
Things are gonna be the way they, were before
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again

I hear bells a-ringin', I hear birds a-singin'
Love's gonna live here again
I hear bee's a-hummin, and I know the days' a-comin'
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again
Love's gonna live here again ",1963
Patsy Cline,Walkin' After Midnight,"Oh the sun's gonna shine, in my life once more
Love's gonna live here again
Things are gonna be the way they, were before
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again

I hear bells a-ringin', I hear birds a-singin'
Love's gonna live here again
I hear bee's a-hummin, and I know the days' a-comin'
Love's gonna live here again

Love's gonna live here
Love's gonna live here
Love's gonna live here again
No more loneliness, only happiness
Love's gonna live here again
Love's gonna live here again ",1957
Johnny Cash,Big River,"Now I taught the weeping willow how to cry
And I showed the clouds how to cover up a clear blue sky
And the tears I cried for that woman are gonna flood you Big River
And I'm gonna sit right here until I die

I met her accidentally in St. Paul (Minnesota)
And it tore me up every time I heard her drawl, Southern drawl
Then I heard my dream went back downstream cavortin' in Davenport
And I followed you, Big River, when you called

Then you took me to St. Louis later on (down the river)
A freighter said she's been here but she's gone, boy, she's gone
I found her trail in Memphis, but she just walked up the bluff
Raised a few eyebrows and went on down alone

Now, won't you batter down by Baton Rouge, River Queen, roll it on
Take that woman on down to New Orleans, New Orleans
Go on, I've had enough; dump my blues down in the gulf
She loves you, Big River, more than me ",1958
Dolly Parton,Jolene,"Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

Your beauty is beyond compare
With flaming locks of auburn hair
With ivory skin and eyes of emerald green

Your smile is like a breath of spring
Your voice is soft like summer rain
And I cannot compete with you, Jolene

He talks about you in his sleep
There's nothing I can do to keep
From crying when he calls your name, Jolene

And I can easily understand
How you could easily take my man
But you don't know what he means to me, Jolene

Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

You could have your choice of men
But I could never love again
He's the only one for me, Jolene

I had to have this talk with you
My happiness depends on you
And whatever you decide to do, Jolene

Jolene, Jolene, Jolene, Jolene
I'm begging of you please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him even though you can

Jolene, Jolene ",1974
Johnn Paycheck,She's All I Got,"Well, I say, friend, don't take her, she's all I've got
Please, don't take her love away from me
I'm beggin' you, friend, don't take her, she's all I've got
She's everything in life I'll ever need

She is life when I wanna live
She's everything to me in life that life can give
She's my water when I need to drink
She's the first thought in my mind each time I try to think
Let me tell you now, friend...

She's my fingers when I want to feel
She's the only thing in life to me that's really real
She is love, she's all the love I know
She could kiss the ground in the wintertime and make the flower grow
Let me tell you now, friend...",1971
The Judds,Why Not Me,"You've been lookin' for love all around the world
Baby, don't you know this country girl's still free?
Why not me?
Well, you've finally come down to your old hometown
Your Kentucky girl's been waiting patiently
Why not me?
Why not me on a rainy day?
Why not me to love your cares away?
Why not me?
Why not me when the nights get cold?
Why not me when you're growin' old?
Why not me?
You've been searchin' from here to Singapore
Ain't it time that you notice the girl next door, baby
Why not me?
Oh, you had to see if the world was round
It's time that you learned how good settlin' down could be
Why not me?
Why not me on a rainy day?
Why not me to love your cares away?
Why not me?
Why not me when the nights get cold?
Why not me when you're growin' old?
Why not me?
You've been lookin' for love all around the world
Baby, don't you know this country girl's still free?
Why not me?
Why not me?
Baby, Why not me?
(La la la la, la la, la la la)
(La la la la, la la, la la la)
Oh, baby, why not me?
(La la la la, la la, la la la)
(La la la la, la la, la la la)
Oh, baby, why not me?
(La la la la, la la, la la la)
(La la la la, la la, la la la)
Oh, baby, why not me?
(La la la la, la la, la la la)",1984
Dwight Yoakam,"Guitars, Cadillacs","Girl you taught me how to hurt real bad and cry myself to sleep
You showed me how this town can shatter dreams
Another lesson about a naive fool that came to Babylon
And found out that the pie don't taste so sweet
Now it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
There ain't no glamour in this tinseled land of lost and wasted lives
And painful scars are all that's left of me
Oh but thank you girl for teaching me brand new ways to be cruel
If I can find my mind now, I guess I'll just leave
And it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
Oh it's guitars, Cadillacs, hillbilly music
Lonely, lonely streets that I call home
Yeah my guitars, Cadillacs, hillbilly music
Is the only thing that keeps me hanging on
It's the only thing that keeps me hanging on
It's the only thing that keeps me hanging on",1986
George Strait,Amarillo By Morning,"Amarillo by morning, up from San Antone
Everything that I've got is just what I've got on
When that sun is high in that Texas sky
I'll be bucking at the county fair
Amarillo by morning, Amarillo I'll be there

They took my saddle in Houston, broke my leg in Santa Fe
Lost my wife and a girlfriend somewhere along the way
Well I'll be looking for eight when they pull that gate
And I hope that judge ain't blind
Amarillo by morning, Amarillo's on my mind

Amarillo by morning, up from San Antone
Everything that I've got is just what I've got on
I ain't got a dime, but what I got is mine
I ain't rich, but Lord I'm free
Amarillo by morning, Amarillo's where I'll be
Amarillo by morning, Amarillo's where I'll be ",1982
Alan Jackson,Don't Rock The Jukebox,"Don't rock the jukebox
I wanna hear some Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song

Before you drop that quarter
Keep one thing in mind
You got a heartbroke hillbilly
Standing here in line
I've been down and lonely
Ever since she left
Before you punch that number
Could I make one request

Don't rock the jukebox
I wanna hear some Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song

I ain't got nothin'
Against rock & roll
But when your heart's been broken
You need a song that's slow
Ain't nothin' like a steel guitar
To drown a memory
Before you spend your money baby
Play a song for me

Don't rock the jukebox
I wanna hear George Jones
My heart ain't ready
For the Rolling Stones
I don't feel like rockin'
Since my baby's gone
So don't rock the jukebox
Play me a country song
Ya don't rock the jukebox
Play me a country song",1991
