pl_name,pl_orbper_yr,pl_orbsmax,pl_orbsmax_n,st_mass
Terrestrial,0.0020165568788501026,0.01544,0.01316405341987586,0.91
Terrestrial,0.02317042874743326,0.0645,0.08687865717843153,0.5
Terrestrial,0.05163310335386721,0.1101,0.0842364516507845,0.5
Terrestrial,0.1141286789869952,0.241,0.3213945991511368,1.67
Jovian,0.0041312955509924705,0.02752,0.022277493446723334,0.95
Terrestrial,0.0362507871321013,0.1055,0.10939778753623414,0.89
Jovian,0.008198028747433266,0.0436,0.032024760100848114,1.27
Jovian,0.007742757015742642,0.04016,0.027776347226679692,1.08
Terrestrial,0.011047748117727584,0.051,0.05596587013395236,1.09
Terrestrial,0.004140013689253936,0.027,0.038941167123632416,1.13
Jovian,0.01465371663244353,0.0618,0.04635757583660695,1.1
Terrestrial,0.01031649555099247,0.0461,0.05183191746025341,1.04
Terrestrial,0.005202106228610541,0.0295,0.021465537899088605,0.95
Jovian,0.010669760438056126,0.0518,0.058417694946109135,1.21
Terrestrial,0.004772056125941136,0.02798,0.036668446826086915,0.96
Terrestrial,0.007459931553730322,0.0417,0.03518775585701129,1.29
Jovian,0.026710417522245036,0.092,0.11636850368683466,1.1
Terrestrial,0.009941957563312799,0.048,0.05833931394064818,1.14
Jovian,0.013999726214921288,0.056,0.08046754169296977,0.91
Terrestrial,0.03219438740588638,0.098,0.11806212708694513,0.91
Jovian,0.013307843942505133,0.0578,0.05156549416102386,1.09
Jovian,0.011511950718685831,0.0526,0.05718634701111542,1.09
Jovian,0.014260123203285421,0.0603,0.06013804489518429,1.01
Terrestrial,0.007804435318275154,0.0386,0.0454186951516875,0.97
Terrestrial,0.024805065023956196,0.0844,0.06986798481827915,0.98
Jovian,0.01267463381245722,0.0586,0.045125186885531965,1.25
Jovian,0.008836358658453114,0.0429,0.05475971763654853,1.01
Jovian,0.015377223819301847,0.066,0.05603272032929444,1.32
Jovian,0.02519383983572895,0.09,0.06476982540801361,1.16
Jovian,0.011055157289527719,0.04947,0.047167405417976524,1.0
Terrestrial,0.02433016563997262,0.0855,0.1105187051533327,1.05
Terrestrial,0.0023370065160848736,0.017016,0.012192544626277267,0.82
Terrestrial,0.017008323066392883,0.063,0.053004714375646064,0.88
Jovian,0.2608423162217659,0.4021,0.4488281373601234,0.96
Jovian,0.018393894592744695,0.071,0.06011113214808113,1.08
Jovian,0.05336676249144422,0.1493,0.130034200483083,1.17
Terrestrial,0.03650818617385352,0.1091,0.07908690538281325,0.93
Terrestrial,0.01692056125941136,0.07229,0.09319389296410982,1.32
Terrestrial,0.009842847364818616,0.047,0.06457355233604097,1.05
Terrestrial,0.04277618069815195,0.13,0.1549244817250661,1.05
Jovian,0.09786995208761122,0.22,0.2368637601409188,1.05
Terrestrial,0.00445977002053388,0.0153,0.017084454449992972,0.18
Terrestrial,0.004326911238877481,0.0149,0.020351754563322635,0.18
Terrestrial,0.0014188681724845995,0.00915,0.006477687566247865,0.38
Terrestrial,0.09750179329226556,0.1915,0.17501859598548597,0.73
Terrestrial,0.0078114606433949355,0.03165,0.041235612276192726,0.52
Jovian,0.00913524873374401,0.0355,0.031975079760694615,0.54
Terrestrial,0.0032799548254620124,0.01589,0.013821588216469024,0.36
Terrestrial,0.010761724845995893,0.035,0.045683321487051225,0.34
Terrestrial,0.0008814839151266257,0.0071,0.005051346367087508,0.45
Terrestrial,0.007162861054072553,0.0252,0.018088636054976584,0.31
Terrestrial,0.007238557481177276,0.0291,0.03686059832564699,0.47
Terrestrial,0.004016752908966461,0.01734,0.019919721761877753,0.32
Terrestrial,0.0033100120465434633,0.0188,0.020219766012634664,0.61
Terrestrial,0.009987941683778234,0.03925,0.02929910300067718,0.61
Terrestrial,0.016978698973305954,0.05591,0.079267251147352,0.61
Terrestrial,0.004776396988364134,0.0338,0.026869211880519984,1.68
Jovian,0.00835735523613963,0.04047,0.03126860260405868,0.95
Jovian,0.010106837508555785,0.0467,0.0480177276514763,1.0
Jovian,0.012225324462696783,0.05561,0.07766212939815118,1.15
Terrestrial,0.013382073757700204,0.05254,0.06982001956949539,0.81
Jovian,0.008796878302532512,0.0384,0.03969042293011457,0.73
Jovian,0.00798425735797399,0.04383,0.040459891129736164,1.32
Terrestrial,0.012669869952087612,0.0596,0.045743032265381706,2.65
Terrestrial,0.029742642026009583,0.0965,0.12598916124870388,1.0
Terrestrial,0.007600164271047228,0.0413,0.04247890072139048,1.22
Jovian,0.028305325119780973,0.0882,0.10319774269977428,0.99
Jovian,0.015080145106091717,0.0559,0.0709452699738553,0.77
Jovian,0.010975436002737851,0.0466,0.042462279625049726,0.84
Terrestrial,0.011292210814510609,0.0494,0.05690036861031084,1.24
Terrestrial,0.008794579055441478,0.0414,0.05994333876508462,1.13
Terrestrial,0.0033206844626967828,0.0232,0.016556566585811783,0.58
Jovian,0.009186146475017112,0.04651,0.038220617643638544,1.37
Jovian,0.010000862806297056,0.0466,0.05919203985212209,1.01
Jovian,0.011593483915126625,0.0479,0.05464107239059958,1.12
Jovian,0.00832190828199863,0.04,0.03325627358727375,0.92
Jovian,0.008917768651608487,0.0434,0.053015325522708524,1.03
Jovian,0.01566924024640657,0.0667,0.04787819009489865,1.45
Jovian,0.007938945927446954,0.03866,0.04142552788340065,1.06
Jovian,0.007695003422313483,0.0419,0.037548785408714806,1.55
Terrestrial,0.013704093086926761,0.061,0.08860001294058606,1.31
Jovian,0.005886401642710472,0.03397,0.0348040113568992,1.13
Jovian,0.009512580424366873,0.04995,0.05994421289823363,1.82
Terrestrial,0.014928553045859,0.06774,0.05878169453665315,1.39
Jovian,0.009984136892539356,0.04978,0.05530087847464346,1.24
Jovian,0.0036340775633127995,0.0241,0.02241266742617726,1.03
Jovian,0.007658962354551676,0.0379,0.026322042479613898,0.93
Jovian,0.012704673511293634,0.0523,0.05344538044718817,0.89
Jovian,0.00970258726899384,0.0509,0.069914555709785,1.4
Jovian,0.008368339493497605,0.04438,0.03443084056501303,0.56
Jovian,0.012203258042436686,0.0608,0.05363930483333813,1.03
Jovian,0.007375906913073237,0.04258,0.03643274543849982,2.56
Jovian,0.012708769336071185,0.0575,0.04294867925640197,1.18
Jovian,0.009124274880219028,0.0444,0.032792378298628314,1.03
Jovian,0.011776095824777549,0.0507,0.04709158639331236,0.94
Jovian,0.008566713210130049,0.0452,0.04668695205137314,1.26
Jovian,0.012219381245722109,0.0577,0.04547683994501,1.28
Jovian,0.007369062286105407,0.04378,0.05114621420271556,2.22
Jovian,0.007634469541409993,0.04073,0.04348733942442803,1.04
Jovian,0.008547599999999999,0.0453,0.03497805328845188,1.27
Jovian,0.011548330732375085,0.05069,0.06687303322324918,0.98
Jovian,0.007538933059548255,0.03694,0.03687775007027568,0.89
Jovian,0.0053706340862423,0.03159,0.03773166585546001,1.09
Jovian,0.010403414099931554,0.04117,0.03662530492525979,0.65
Jovian,0.009815870499657767,0.04604,0.033486186698093265,1.01
Jovian,0.007640876112251883,0.0423,0.049863394976899116,1.42
Jovian,0.0067496235455167695,0.0406,0.0327196773624732,2.77
Jovian,0.010989289253935662,0.04994,0.040924648359935964,1.03
Terrestrial,0.011340115263518137,0.05064,0.055315672665550965,1.01
Jovian,0.010548884325804244,0.05239,0.056673517945902425,1.79
Jovian,0.01312739575633128,0.06277,0.050224387116704974,1.44
Terrestrial,0.005208248843258042,0.0301,0.03139722785794459,1.0
Jovian,0.007242501026694045,0.03772,0.030158670570929105,1.02
Jovian,0.009247715263518138,0.04294,0.042051557677676765,0.93
Jovian,0.010971203285420944,0.05387,0.07002803076203776,1.3
Jovian,0.007133347570157426,0.03951,0.03843543290205803,1.21
Jovian,0.008137127994524299,0.04363,0.030969981226054086,1.26
Jovian,0.013169342915811089,0.06505,0.06331288447326891,1.64
Jovian,0.0062926913347022585,0.02996,0.027225263387230404,0.68
Jovian,0.013105952361396304,0.06555,0.07079747907714118,1.65
Jovian,0.00603624914442163,0.03676,0.04562369962532808,1.56
Jovian,0.00842255989048597,0.04496,0.05784858740756532,1.27
Jovian,0.010740070417522245,0.05287,0.04493632964894972,1.28
Jovian,0.009435890485968514,0.0444,0.0316776702298844,0.99
Jovian,0.009070078028747434,0.04491,0.05327213988942869,1.1
Jovian,0.009908796714579055,0.0507,0.0660654451133492,1.33
Jovian,0.008334154414784394,0.04057,0.04489514134975353,0.96
Jovian,0.00757498726899384,0.03815,0.030759343753285692,0.97
Terrestrial,0.004784360109514031,0.02712,0.029604426635133702,0.87
Terrestrial,0.007355241615331964,0.03744,0.037284732085744766,0.97
Terrestrial,0.04450269952087611,0.1308,0.16289079430438105,1.13
Jovian,0.00229388090349076,0.0174,0.01205063456916411,1.04
Jovian,0.003707414099931554,0.023,0.022846574894468445,0.88
Terrestrial,0.012930355646817247,0.05025,0.0566741369641783,0.76
Jovian,0.005915169336071184,0.03397,0.03236623633046314,1.12
Jovian,0.003691985763175907,0.0238,0.02475705217755601,1.07
Jovian,0.011769043668720055,0.05163,0.061940935090651586,0.99
Jovian,0.009041445859000683,0.04735,0.06126923471873942,1.3
Jovian,0.012695518138261466,0.0611,0.05569375010142023,1.42
Jovian,0.008709317180013689,0.04131,0.029660399408541455,0.93
Jovian,0.012610198220396988,0.05475,0.06331442525154805,1.03
Jovian,0.009713486652977412,0.0485,0.06992450905568741,1.21
Jovian,0.008690901026694045,0.04354,0.05283656807684059,1.09
Jovian,0.009248350444900752,0.0478,0.0526826436777553,1.27
Jovian,0.0077006291581108825,0.04024,0.03705619124674998,1.1
Jovian,0.006980301437371664,0.03727,0.05060519991380338,1.06
Jovian,0.005766353730321698,0.03166,0.03503420668136093,0.96
Jovian,0.004985624366872005,0.03199,0.025544158306373632,1.32
Terrestrial,0.01143103627652293,0.0523,0.056759344761389066,1.1
Jovian,0.011859100889801504,0.04913,0.03395732739524225,0.84
Jovian,0.011978154688569474,0.05036,0.07177883410367453,0.89
Jovian,0.0125328810403833,0.06007,0.08014853785179858,1.38
Terrestrial,0.006890428473648186,0.0362,0.035449318309669,1.0
Jovian,0.008937094045174537,0.04997,0.041787862306416214,1.56
Terrestrial,0.01148158521560575,0.0583,0.044869692943423474,1.5
Jovian,0.006275433264887063,0.03689,0.03099623030207071,1.27
Jovian,0.012016015605749485,0.04944,0.05546877501407502,0.84
Jovian,0.007512389869952087,0.03649,0.03893224079048235,0.86
Jovian,0.011465090759753592,0.05511,0.07087029899274593,1.27
Jovian,0.012983909377138947,0.05367,0.03797283294792722,0.92
