pl_name,log_pl_bmasse,pl_rade,log_pl_densitye,log_pl_orbper,st_teff,pl_class,pl_class2
HATS-70b,3.61288980105738,15.468281999999999,-0.08037517864917701,0.2787536009528289,7930,BrownDwarf,BrownDwarf
TOI-1278b,3.7694718191611445,12.217701,0.3835646048364263,1.1613680022349748,3799,BrownDwarf,BrownDwarf
Kepler-39b,3.7810536917109596,11.993523,0.41927463815248356,1.3242824552976926,6290,BrownDwarf,BrownDwarf
GPX-1b,3.7967663169197237,16.477083,0.0211865921723481,0.2304489213782739,7000,BrownDwarf,BrownDwarf
CoRoT-3b,3.8544826088694935,11.881434,0.5049372925723352,0.6334684555795865,6740,BrownDwarf,BrownDwarf
KELT-1b,3.947904294031728,12.666056999999999,0.515041243078622,0.07918124604762482,6519,BrownDwarf,BrownDwarf
NLTT 41135b,4.029929991629469,12.666056999999999,0.5970669406763631,0.4623979978989561,3230,BrownDwarf,BrownDwarf
WASP-128b,4.072843030640028,10.536366,0.8798317493380851,0.3424226808222063,5950,BrownDwarf,BrownDwarf
CWW 89Ab,4.095586157778588,10.536366,0.9025748764766448,0.724275869600789,5755,BrownDwarf,BrownDwarf
KOI-205b,4.106526143842601,9.079209,1.1074433667038042,1.0681858617461617,5289,BrownDwarf,BrownDwarf
TOI-1406b,4.165057922439705,9.639654,1.0879348482061544,1.0253058652647702,6290,BrownDwarf,BrownDwarf
EPIC 212036875b,4.220801779625405,9.751743,1.1286163012667023,0.7160033436347992,6238,BrownDwarf,BrownDwarf
TOI-503b,4.232274376457687,15.019926,0.5773322608604162,0.568201724066995,7650,BrownDwarf,BrownDwarf
TOI-852b,4.232274376457687,9.303386999999999,1.2014123788266176,0.6901960800285137,5768,BrownDwarf,BrownDwarf
AD 3116b,4.2394927334628685,10.648455,1.0326941970934773,0.3010299956639812,3165,BrownDwarf,BrownDwarf
CoRoT-33b,4.273152102400275,12.329790000000001,0.8753463264227525,0.7634279935629372,5225,BrownDwarf,BrownDwarf
RIK 72b,4.274621797481051,34.74759,-0.4730910045246149,1.9903388547876015,3349,BrownDwarf,BrownDwarf
TOI-811b,4.279726913147442,14.123213999999999,0.7049875572919062,1.4014005407815442,6107,BrownDwarf,BrownDwarf
WASP-30b,4.286203670030866,8.742942,1.3362921414565772,0.6232492903979004,6130,BrownDwarf,BrownDwarf
TOI-263b,4.291880802922556,10.200099,1.1411289054564282,-0.25181197299379954,3471,BrownDwarf,BrownDwarf
LHS 6343c,4.3009507362034,9.303386999999999,1.270088738572331,1.1038037209559568,3750,BrownDwarf,BrownDwarf
TOI-569b,4.307120769479293,8.406675,1.4083092588013457,0.8195439355418687,5705,BrownDwarf,BrownDwarf
CoRoT-15b,4.308480064742018,10.536366,1.1154687834400747,0.4913616938342727,6340,BrownDwarf,BrownDwarf
TOI-2119b,3.3244681701261483,12.105612,-0.04943081683754822,0.8573324964312685,3621,BrownDwarf,BrownDwarf
TOI-1982b,4.320525984372086,12.105612,0.9466269974083897,1.235528446907549,6325,BrownDwarf,BrownDwarf
KOI-415b,4.327726208525954,9.191298,1.3126569308719565,2.22219604630172,5840,BrownDwarf,BrownDwarf
TOI-629b,4.328374893458958,12.441879,0.9187782365961377,0.9395192526186185,9100,BrownDwarf,BrownDwarf
TOI-2543b,4.332246786699767,10.648455,1.125448250330376,0.8750612633917001,6060,BrownDwarf,BrownDwarf
LP 261-75b,4.335447202670916,10.08801,1.199091953850094,0.2787536009528289,3100,BrownDwarf,BrownDwarf
EPIC 201702477b,4.335447202670916,9.639654,1.2583241284373654,1.6095944092252201,5602,BrownDwarf,BrownDwarf
NGTS-19b,4.3442848953482445,11.545167,1.0321455007298808,1.250420002308894,4500,BrownDwarf,BrownDwarf
CoRoT-34b,4.355998302534306,12.217701,0.9700910882095869,0.3222192947339193,7820,BrownDwarf,BrownDwarf
NGTS-7Ab,4.380247042387319,15.468281999999999,0.6869820626807622,-0.1549019599857432,3359,BrownDwarf,BrownDwarf
TOI-148b,4.3893544688090875,9.079209,1.390271691670291,0.6901960800285137,5990,BrownDwarf,BrownDwarf
KOI-189b,4.407556139506582,11.096811,1.147022835211085,1.4828735836087537,4973,BrownDwarf,BrownDwarf
TOI-587b,4.411320944969287,15.132015,0.7466919189814211,0.9030899869919435,9800,BrownDwarf,BrownDwarf
TOI-746b,4.417171908298181,10.648455,1.2103733719287906,1.0413926851582251,5690,BrownDwarf,BrownDwarf
