pl_name,log_pl_bmasse,pl_rade,log_pl_densitye,log_pl_orbper,log_pl_orbsmax,st_teff,log_st_mass,pl_class,pl_class2
55 Cnc e,0.9025467793139914,1.875,-0.041395773485521516,-0.13279929920011027,-1.8113527040002826,5172.0,-0.040958607678906384,Terrestrial,SuperEarth
AU Mic b,1.3036279763838898,4.07,-0.6500939879000703,0.9275242946898633,-1.1904402853647322,3588.0,-0.3010299956639812,Terrestrial,Neptunian
AU Mic c,0.9822712330395684,3.24,-0.674302534188568,1.275518453255261,-0.9582126810282482,3700.0,-0.3010299956639812,Terrestrial,SuperEarth
BD+20 594 b,1.347292927912494,2.578,-0.011494547747958401,1.6199850150435282,-0.6179829574251317,5766.0,0.22271647114758325,Terrestrial,Neptunian
CoRoT-1 b,2.5150123452580155,16.7,-1.2780758047930343,0.17867648992273436,-1.5603515704365263,5950.0,-0.022276394711152253,Jovian,Jovian
CoRoT-10 b,2.941511432634403,10.87,-0.2921159362327805,1.1219076656765674,-0.9767475403662885,5075.0,-0.05060999335508721,Terrestrial,Jovian
CoRoT-11 b,2.869530927699219,16.03,-0.8702083759715155,0.47629966149847214,-1.360513510731414,6440.0,0.10380372095595687,Jovian,Jovian
CoRoT-12 b,2.4645461778881823,16.14,-1.2841031498782725,0.4514858549950149,-1.396206295863037,5675.0,0.03342375548694973,Jovian,Jovian
CoRoT-13 b,2.618784203408235,9.92,-0.49568954966260087,0.6058639886265819,-1.2924298239020637,5945.0,0.037426497940623665,Terrestrial,Jovian
CoRoT-14 b,3.3829890619644596,12.22,-0.003163292363446525,0.17959200175564313,-1.5686362358410126,6035.0,0.05307844348341968,Terrestrial,Jovian
CoRoT-16 b,2.2305306632346986,13.11,-1.247216148443854,0.7285380136821199,-1.2090115249111841,5650.0,0.04139268515822508,Jovian,Jovian
CoRoT-17 b,2.8877804114110295,11.43,-0.41129701638311555,0.5761224198299447,-1.3362990746103518,5740.0,0.01703333929878037,Terrestrial,Jovian
CoRoT-18 b,3.0425046335770776,14.68,-0.5826122697713777,0.2787694409837459,-1.530177984021837,5440.0,-0.022276394711152253,Terrestrial,Jovian
CoRoT-19 b,2.5475039558933252,14.46,-1.057939659590511,0.590744893178108,-1.285670240254767,6090.0,0.08278537031645007,Jovian,Jovian
CoRoT-2 b,3.0425046335770776,16.432,-0.7295053817908314,0.2412957675348951,-1.5531522898441912,5625.0,-0.017728766960431602,Terrestrial,Jovian
CoRoT-20 b,3.135663343477824,9.416,0.08912525736338912,0.9658059050326123,-1.0457574905606752,5880.0,0.05690485133647256,BrownDwarf,Jovian
CoRoT-21 b,2.856303327045638,14.572,-0.7591928972722964,0.4353250673640437,-1.3798639450262424,6200.0,0.11058971029924898,Terrestrial,Jovian
CoRoT-22 b,1.0863598306747482,4.88,-1.1038383719416835,0.9892709013281894,-1.0362121726544447,5939.0,0.04139268515822508,Jovian,Neptunian
CoRoT-23 b,2.949341206770497,11.77,-0.3879269183681066,0.5600621296516789,-1.3187587626244128,5900.0,0.05690485133647256,Terrestrial,Jovian
CoRoT-24 b,0.7558748556724915,3.7,-1.0736690531367936,0.7087097671051746,-1.2518119729937995,4950.0,-0.040958607678906384,Jovian,SuperEarth
CoRoT-24 c,1.4471580313422192,5.0,-0.7746907182741372,1.070370390367003,-1.0087739243075051,4950.0,-0.040958607678906384,Terrestrial,Neptunian
CoRoT-25 b,1.9335379019717047,12.11,-1.440833264065752,0.6866979239787829,-1.238072161579471,6040.0,0.037426497940623665,Jovian,Jovian
CoRoT-26 b,2.2181677484204254,14.12,-1.3562750783352293,0.6237391463749965,-1.279014255846261,5590.0,0.037426497940623665,Jovian,Jovian
CoRoT-27 b,3.518791536400216,11.287,0.23611722465794202,0.5533149183090587,-1.322393047279507,5900.0,0.021189299069938092,BrownDwarf,Jovian
CoRoT-28 b,2.1870402495426498,10.705,-1.0266585019570216,0.71671350231544,-1.2196826878598488,5150.0,0.004321373782642578,Jovian,Jovian
CoRoT-29 b,2.4316138136125303,10.088,-0.7047401436908454,0.45493171022015916,-1.413412695328245,5260.0,-0.01322826573375516,Terrestrial,Jovian
