pl_rade,log_pl_orbper,st_teff,pl_class,pl_class2
1.875,-0.13279929920011027,5172.0,Terrestrial,SuperEarth
4.07,0.9275242946898633,3588.0,Terrestrial,Neptunian
3.24,1.275518453255261,3700.0,Terrestrial,SuperEarth
2.578,1.6199850150435282,5766.0,Terrestrial,Neptunian
16.7,0.17867648992273436,5950.0,Jovian,Jovian
10.87,1.1219076656765674,5075.0,Terrestrial,Jovian
16.03,0.47629966149847214,6440.0,Jovian,Jovian
16.14,0.4514858549950149,5675.0,Jovian,Jovian
9.92,0.6058639886265819,5945.0,Terrestrial,Jovian
12.22,0.17959200175564313,6035.0,Terrestrial,Jovian
13.11,0.7285380136821199,5650.0,Jovian,Jovian
11.43,0.5761224198299447,5740.0,Terrestrial,Jovian
14.68,0.2787694409837459,5440.0,Terrestrial,Jovian
14.46,0.590744893178108,6090.0,Jovian,Jovian
16.432,0.2412957675348951,5625.0,Terrestrial,Jovian
9.416,0.9658059050326123,5880.0,BrownDwarf,Jovian
14.572,0.4353250673640437,6200.0,Terrestrial,Jovian
4.88,0.9892709013281894,5939.0,Jovian,Neptunian
11.77,0.5600621296516789,5900.0,Terrestrial,Jovian
3.7,0.7087097671051746,4950.0,Jovian,SuperEarth
5.0,1.070370390367003,4950.0,Terrestrial,Neptunian
12.11,0.6866979239787829,6040.0,Jovian,Jovian
14.12,0.6237391463749965,5590.0,Jovian,Jovian
11.287,0.5533149183090587,5900.0,BrownDwarf,Jovian
10.705,0.71671350231544,5150.0,Jovian,Jovian
10.088,0.45493171022015916,5260.0,Terrestrial,Jovian
11.32,0.629083245916666,6740.0,BrownDwarf,BrownDwarf
11.31,0.9571305944388634,5650.0,Terrestrial,Jovian
16.365,0.6655256454301307,5700.0,Jovian,Jovian
18.831,0.5088635597172184,6390.0,Jovian,Jovian
15.805,0.7494681602806386,6730.0,Jovian,Jovian
13.34,0.9638845887054673,6190.0,Jovian,Jovian
15.558,0.6061551505792309,6100.0,Jovian,Jovian
13.068,0.9487352902277085,6090.0,Terrestrial,Jovian
1.681,-0.06874985209182854,5275.0,Terrestrial,SuperEarth
6.39,0.7932517211164108,5080.0,Terrestrial,Jovian
11.949,1.9789682725973061,5625.0,Jovian,Jovian
6.389,0.8272639180131508,5970.0,Jovian,Neptunian
5.76,1.2898610816211138,6069.0,Jovian,Neptunian
1.6,-0.2432026774940658,5613.0,Terrestrial,SuperEarth
2.2,1.1249804811590576,5613.0,Terrestrial,SuperEarth
11.781,0.7910049892090182,6202.0,Terrestrial,Jovian
12.442,3.5622928644564746,4898.0,BrownDwarf,Jovian
1.95,0.5557109750649865,5430.0,Terrestrial,SuperEarth
3.67,1.193792230279798,5430.0,Terrestrial,Neptunian
3.94,1.553239600315695,5430.0,Jovian,Neptunian
1.13,0.21190268838836507,3270.0,Terrestrial,Terrestrial
2.742,0.1987682108933181,3250.0,Terrestrial,SuperEarth
1.18,-0.2854677285070645,3458.0,Terrestrial,Terrestrial
2.61,1.5516028280974166,4640.0,Terrestrial,Neptunian
2.13,0.4553224735995292,3556.0,Terrestrial,SuperEarth
4.57,0.5233106013875942,3600.0,Jovian,Neptunian
1.264,0.07845808685835623,3347.0,Terrestrial,Terrestrial
1.217,0.5944721084891478,3505.0,Terrestrial,Terrestrial
0.718,-0.4921953834724289,3522.0,Terrestrial,Terrestrial
1.09,0.4176767513569088,3384.0,Terrestrial,Terrestrial
4.17,0.4222422520764516,3586.11,Terrestrial,Neptunian
1.305,0.16646534148290798,3340.0,Terrestrial,SuperEarth
1.577,0.08241979896750079,4340.0,Terrestrial,SuperEarth
1.241,0.5620662225940892,4340.0,Terrestrial,Terrestrial
2.022,0.7924946331078073,4340.0,Terrestrial,SuperEarth
16.477,0.24169064044348376,7000.0,Terrestrial,BrownDwarf
13.776,0.48465908720384576,5470.0,Jovian,Jovian
14.818,0.5672055080468162,5720.0,Jovian,Jovian
14.785,0.6498506188223486,5980.0,Jovian,Jovian
4.36,0.6891136438482908,4780.0,Terrestrial,Neptunian
10.749,0.506918808517076,4650.0,Jovian,Jovian
14.258,0.464824751801809,5653.0,Jovian,Jovian
15.917,0.6653623817643936,6600.0,Terrestrial,Jovian
11.882,1.035969768696547,5568.0,Terrestrial,Jovian
14.448,0.443413203892171,6158.0,Terrestrial,Jovian
11.769,1.014458372235918,5246.0,Jovian,Jovian
11.153,0.7409957450838383,4803.0,Jovian,Jovian
12.689,0.6030120063516576,4990.0,Jovian,Jovian
10.66,0.7507795166957466,6380.0,BrownDwarf,Jovian
9.718,0.4586857320731066,4595.0,BrownDwarf,Jovian
12.442,0.6153692020093096,5588.0,Terrestrial,Jovian
12.89,0.5068052817853751,5302.0,Terrestrial,Jovian
12.218,0.08381783473645037,5905.0,Terrestrial,Jovian
14.572,0.5257235906593365,6373.0,Jovian,Jovian
12.722,0.5626276941912842,5519.0,Jovian,Jovian
7.062,0.6268041884174136,5079.0,Jovian,Neptunian
11.43,0.4828131496127236,5316.0,Jovian,Jovian
13.585,0.5128464261214837,5680.0,Jovian,Jovian
13.115,0.7576381639726653,6087.0,Jovian,Jovian
10.536,0.4623530685596154,5185.0,Jovian,Jovian
16.141,0.4487990419241283,6304.0,Jovian,Jovian
12.218,0.6994405245784795,6065.0,Terrestrial,Jovian
22.194,0.33244011629140086,6001.0,Jovian,Jovian
20.737,0.5408885661548551,6446.0,Jovian,Jovian
13.417,0.7366079402582087,6442.0,Terrestrial,Jovian
14.93,0.5619007515988181,6096.0,Jovian,Jovian
14.314,0.12298441696725079,5620.0,Jovian,Jovian
13.204,0.4467601594846465,5500.0,Jovian,Jovian
9.247,0.6665537334995723,5330.0,Jovian,Jovian
17.609,0.5494777822561627,6430.0,Jovian,Jovian
14.28,0.4852295152932375,5860.0,Jovian,Jovian
17.038,0.6490660192935932,6080.0,Jovian,Jovian
22.978,0.4304056517145791,6390.0,Jovian,Jovian
14.348,0.6666937219400065,5743.0,Jovian,Jovian
13.63,0.5227885850737325,5693.0,Jovian,Jovian
13.922,0.633591555567387,5295.0,Jovian,Jovian
15.984,0.49540445277217715,6330.0,Jovian,Jovian
14.392,0.649639439647725,6120.0,Jovian,Jovian
17.822,0.43000245196608544,6820.0,Jovian,Jovian
