"dim_browser" "dim_deviceCategory" "sessions" "transactions" "QTY" "dim_year" "dim_month"
"1" "Safari" "tablet" 2928 127 221 2012 7
"2" "Internet Explorer" "desktop" 1106 28 0 2012 7
"3" "Chrome" "tablet" 474 3 13 2012 7
"4" "Amazon Silk" "tablet" 235 4 5 2012 7
"5" "Internet Explorer" "mobile" 178 6 11 2012 7
"6" "Internet Explorer" "tablet" 120 7 0 2012 7
"7" "Android Browser" "mobile" 10 0 0 2012 7
"8" "error" "desktop" 9 0 0 2012 7
"9" "Edge" "mobile" 5 0 0 2012 7
"10" "Opera" "mobile" 4 0 0 2012 7
"11" "UC Browser" "mobile" 4 0 0 2012 7
"12" "Opera" "tablet" 1 0 0 2012 7
"13" "Puffin" "desktop" 1 0 0 2012 7
"14" "SeaMonkey" "desktop" 1 0 0 2012 7
"15" "(not set)" "mobile" 0 0 0 2012 7
"16" "BlackBerry" "mobile" 0 0 0 2012 7
"17" "osee2unifiedRelease" "mobile" 0 0 0 2012 7
"18" "Safari" "tablet" 6624 261 494 2012 7
"19" "Chrome" "desktop" 5953 120 272 2012 7
"20" "Safari (in-app)" "mobile" 1090 4 4 2012 7
"21" "Android Webview" "mobile" 946 0 0 2012 7
"22" "Amazon Silk" "tablet" 432 21 31 2012 7
"23" "Samsung Internet" "mobile" 260 3 8 2012 7
"24" "Android Webview" "tablet" 61 0 0 2012 7
"25" "Samsung Internet" "tablet" 48 3 3 2012 7
"26" "Firefox" "mobile" 40 0 0 2012 7
"27" "DESKTOP" "desktop" 37 0 0 2012 7
"28" "Android Browser" "mobile" 21 0 0 2012 7
"29" "BlackBerry" "mobile" 14 0 0 2012 7
"30" "error" "desktop" 9 0 0 2012 7
"31" "Mozilla Compatible Agent" "desktop" 3 0 0 2012 7
"32" "(not set)" "mobile" 2 0 0 2012 7
"33" "Amazon Silk" "desktop" 1 0 0 2012 7
"34" "SeaMonkey" "desktop" 1 0 0 2012 7
"35" "Apple-iPhone7C2" "desktop" 0 0 0 2012 7
"36" "Safari" "mobile" 14196 188 311 2012 7
"37" "Chrome" "desktop" 10218 294 592 2012 7
"38" "Safari" "tablet" 6502 160 303 2012 7
"39" "Safari" "desktop" 3787 203 331 2012 7
"40" "Samsung Internet" "mobile" 869 1 3 2012 7
"41" "Android Webview" "mobile" 86 0 0 2012 7
"42" "Opera" "desktop" 23 0 1 2012 7
"43" "Internet Explorer" "mobile" 20 0 0 2012 7
"44" "error" "desktop" 4 0 0 2012 7
"45" "Edge" "mobile" 3 0 0 2012 7
"46" "Opera" "tablet" 2 0 0 2012 7
"47" "Amazon Silk" "mobile" 1 0 0 2012 7
"48" "Iron" "mobile" 0 0 0 2012 7
"49" "Maxthon" "desktop" 0 0 0 2012 7
"50" "Mozilla" "desktop" 0 0 0 2012 7
"51" "Safari" "mobile" 20546 151 257 2012 7
"52" "Chrome" "desktop" 8788 188 382 2012 7
"53" "Safari" "desktop" 7759 563 1115 2012 7
"54" "Internet Explorer" "desktop" 1940 107 223 2012 7
"55" "Safari (in-app)" "mobile" 1710 14 12 2012 7
"56" "Edge" "desktop" 857 55 88 2012 7
"57" "Safari (in-app)" "tablet" 541 2 4 2012 7
"58" "Android Webview" "mobile" 252 0 1 2012 7
"59" "Samsung Internet" "mobile" 92 1 0 2012 7
"60" "Internet Explorer" "tablet" 68 10 0 2012 7
"61" "Opera" "desktop" 18 1 0 2012 7
"62" "Internet Explorer" "mobile" 10 0 0 2012 7
"63" "BlackBerry" "mobile" 9 0 0 2012 7
"64" "Android Browser" "mobile" 5 0 0 2012 7
"65" "error" "desktop" 2 0 0 2012 7
"66" "MRCHROME" "desktop" 2 0 0 2012 7
"67" "YelpWebView" "mobile" 2 0 0 2012 7
"68" "BlackBerry" "tablet" 1 0 0 2012 7
"69" "Iron" "mobile" 1 0 0 2012 7
"70" "Opera" "tablet" 1 0 0 2012 7
"71" "Chrome" "desktop" 29361 385 713 2012 7
"72" "Safari" "mobile" 17649 152 227 2012 7
"73" "Safari" "tablet" 11605 227 537 2012 7
"74" "Internet Explorer" "desktop" 2030 146 132 2012 7
"75" "Chrome" "tablet" 877 31 53 2012 7
"76" "Firefox" "desktop" 710 22 38 2012 7
"77" "Internet Explorer" "tablet" 166 6 22 2012 7
"78" "Amazon Silk" "tablet" 109 2 1 2012 7
"79" "Android Webview" "tablet" 81 0 0 2012 7
"80" "Amazon Silk" "mobile" 9 0 0 2012 7
"81" "UC Browser" "mobile" 5 0 0 2012 7
"82" "Android Webview" "desktop" 3 0 0 2012 7
"83" "Maxthon" "desktop" 3 0 0 2012 7
"84" "Edge" "mobile" 2 0 0 2012 7
"85" "error" "desktop" 2 0 0 2012 7
"86" "Opera Mini" "mobile" 1 0 0 2012 7
"87" "Edge" "tablet" 0 0 0 2012 7
"88" "Opera" "tablet" 0 0 0 2012 7
"89" "Chrome" "desktop" 35412 304 474 2012 7
"90" "Safari" "tablet" 13121 620 993 2012 7
"91" "Safari" "mobile" 7468 64 119 2012 7
"92" "Internet Explorer" "desktop" 966 40 0 2012 7
"93" "Edge" "desktop" 822 11 8 2012 7
"94" "Safari (in-app)" "tablet" 569 6 6 2012 7
"95" "Internet Explorer" "tablet" 253 9 0 2012 7
"96" "Android Webview" "mobile" 235 0 0 2012 7
"97" "Firefox" "mobile" 55 0 0 2012 7
"98" "Internet Explorer" "mobile" 22 0 0 2012 7
"99" "error" "desktop" 12 0 0 2012 7
"100" "SeaMonkey" "desktop" 8 0 0 2012 7
"101" "Edge" "mobile" 6 0 0 2012 7
"102" "Mozilla Compatible Agent" "desktop" 1 0 0 2012 7
"103" "Opera" "tablet" 1 0 0 2012 7
"104" "Opera Mini" "mobile" 1 0 0 2012 7
"105" "Amazon Silk" "mobile" 0 0 0 2012 7
"106" "Safari" "desktop" 8949 352 523 2012 7
"107" "Chrome" "mobile" 4200 54 104 2012 7
"108" "Chrome" "desktop" 3282 76 156 2012 7
"109" "Safari (in-app)" "tablet" 761 5 6 2012 7
"110" "Edge" "desktop" 591 14 13 2012 7
"111" "Safari (in-app)" "mobile" 350 0 0 2012 7
"112" "Amazon Silk" "tablet" 288 6 12 2012 7
"113" "Android Webview" "mobile" 126 0 0 2012 7
"114" "Opera" "desktop" 31 0 0 2012 7
"115" "error" "desktop" 9 0 0 2012 7
"116" "UC Browser" "mobile" 4 0 0 2012 7
"117" "SeaMonkey" "desktop" 3 0 0 2012 7
"118" "Seznam" "desktop" 3 0 0 2012 7
"119" "Mozilla Compatible Agent" "desktop" 1 0 0 2012 7
"120" "Puffin" "mobile" 0 0 0 2012 7
"121" "Safari" "mobile" 11259 206 412 2012 7
"122" "Safari" "tablet" 7222 186 339 2012 7
"123" "Chrome" "desktop" 7171 277 379 2012 7
"124" "Internet Explorer" "desktop" 2898 159 0 2012 7
"125" "Safari (in-app)" "tablet" 2594 34 54 2012 7
"126" "Safari" "desktop" 2492 97 228 2012 7
"127" "Android Webview" "mobile" 612 6 7 2012 7
"128" "Amazon Silk" "tablet" 56 0 0 2012 7
"129" "Android Browser" "mobile" 37 0 0 2012 7
"130" "Amazon Silk" "mobile" 13 0 0 2012 7
"131" "error" "desktop" 9 0 0 2012 7
"132" "Opera Mini" "mobile" 5 0 0 2012 7
"133" "Opera" "mobile" 4 0 0 2012 7
"134" "(not set)" "tablet" 2 0 0 2012 7
"135" "Firefox" "tablet" 1 0 0 2012 7
"136" "SeaMonkey" "desktop" 1 0 0 2012 7
"137" "Maxthon" "desktop" 0 0 0 2012 7
"138" "Maxthon" "tablet" 0 0 0 2012 7
"139" "YaBrowser" "desktop" 0 0 0 2012 7
"140" "Safari" "mobile" 37927 209 360 2012 7
"141" "Safari" "tablet" 6486 99 180 2012 7
"142" "Chrome" "mobile" 2717 29 55 2012 7
"143" "Firefox" "desktop" 2011 68 119 2012 7
"144" "Safari (in-app)" "tablet" 1881 8 15 2012 7
"145" "Internet Explorer" "desktop" 891 19 2 2012 7
"146" "Android Webview" "mobile" 416 1 2 2012 7
"147" "Amazon Silk" "tablet" 149 10 14 2012 7
"148" "Internet Explorer" "mobile" 46 0 0 2012 7
"149" "Firefox" "mobile" 33 0 0 2012 7
"150" "error" "desktop" 9 0 0 2012 7
"151" "UC Browser" "mobile" 4 0 0 2012 7
"152" "Edge" "mobile" 3 0 0 2012 7
"153" "Maxthon" "desktop" 3 0 0 2012 7
"154" "Mozilla" "desktop" 2 0 0 2012 7
"155" "YaBrowser" "desktop" 1 0 0 2012 7
"156" "BrowserNG" "mobile" 0 0 0 2012 7
"157" "Puffin" "mobile" 0 0 0 2012 7
"158" "Edge" "desktop" 2331 77 125 2012 7
