Hot Sauce,Scoville Rating (SHU),Order Served,Season
Texas Pete Original Hot Sauce,747,1,1
Cholula Original Hot Sauce,3600,2,1
El Yucateco Caribbean Hot Sauce,5790,3,1
Lottie's Traditional Barbados Yellow Hot Pepper Sauce,15000,4,1
Pain Is Good Batch #218 Louisiana Style Hot Sauce,13000,5,1
Pain 100% Hot Sauce,40600,6,1
Blair's Original Death Sauce with Chipotle,30000,7,1
Dave's Gourmet Temporary Insanity Hot Sauce,57000,8,1
Dave's Gourmet Insanity Hot Sauce,180000,9,1
Mad Dog 357 Hot Sauce,357000,10,1
Huy Fong Sriracha Sauce,2200,1,2
Tapatío Hot Sauce,3000,2,2
El Yucateco Chile Habanero Hot Sauce,5790,3,2
Pain Is Good Batch #218 Louisiana Style Hot Sauce,13000,4,2
Hot Ones Fiery Chipotle Hot Sauce,15600,5,2
High River Sauces Rogue Hot Sauce,34000,6,2
Pain 100% Hot Sauce,40600,7,2
Da' Bomb Beyond Insanity Hot Sauce,135600,8,2
Mad Dog 357 Hot Sauce,357000,9,2
Blair's Mega Death Sauce,550000,10,2
Huy Fong Sriracha Sauce,2200,1,3
Tabasco Sauce,4000,2,3
El Yucateco Chile Habanero Hot Sauce,5790,3,3
Queen Majesty Red Habanero and Black Coffee Hot Sauce,14000,4,3
Hot Ones Fiery Chipotle Hot Sauce,15600,5,3
Bravado Spice Company Ghost Pepper and Blueberry Hot Sauce,28000,6,3
Torchbearer Zombie Apocalypse Ghost Chili Sauce,100000,7,3
Da' Bomb Beyond Insanity Hot Sauce,135600,8,3
Mad Dog 357 Hot Sauce,357000,9,3
Blair's Mega Death Sauce,550000,10,3
Valentina Black Label Hot Sauce,2100,1,4
Crystal Hot Sauce,3000,2,4
Secret Aardvark Habanero Hot Sauce,5000,3,4
Queen Majesty Scotch Bonnet and Ginger Hot Sauce,9000,4,4
Hot Ones Fiery Chipotle Hot Sauce,15600,5,4
Dirty Dick’s Hot Pepper Sauce With a Tropical Twist,21000,6,4
Torchbearer Zombie Apocalypse Ghost Chili Sauce,100000,7,4
Da' Bomb Beyond Insanity Hot Sauce,135600,8,4
Blair's Mega Death Sauce,550000,9,4
Hot Ones The Last Dab Hot Sauce,1000000,10,4
Humble House Ancho & Morita Hot Sauce,450,1,5
Original Louisiana Hot Sauce,550,2,5
Small Axe Peppers The Bronx Greenmarket Hot Sauce,5500,3,5
Hot Ones Fiery Chipotle Hot Sauce,15600,4,5
Adoboloco Hawaiian Hot Sauce Hamajang Kiawe Smoked Ghost Pepper,32000,5,5
Karma Sauce Extreme Karma Hot Sauce,56000,6,5
Dawson's Original Hot Sauce,82000,7,5
Da' Bomb Beyond Insanity Hot Sauce,135600,8,5
Mad Dog 357 Hot Sauce - 25th Anniversary Edition,1000000,9,5
Hot Ones The Last Dab Hot Sauce,2000000,10,5
Howler Monkey Original Hot Sauce,600,1,6
Heartbeat Hot Sauce Red Habanero Hot Sauce,4000,2,6
Pirate's Lantern Pepper Sauce,7500,3,6
Torchbearer Son of Zombie Wing Sauce,24000,4,6
Hot Ones Los Calientes Hot Sauce,36000,5,6
Bravado Spice Company Black Garlic Carolina Reaper Hot Sauce,71000,6,6
Bunsters Black Label Hot Sauce,99000,7,6
Da' Bomb Beyond Insanity Hot Sauce,135600,8,6
Hellfire Fiery Fool Hot Sauce,550000,9,6
Hot Ones The Last Dab Reduxx,2000000,10,6
Hot Ones The Classic Hot Sauce,1800,1,7
