,Hot Sauce,Brand Name,Ingredients,Scoville Rating (SHU),# of Seasons,7-pot,adobo,aji,aka,amarillo,anaheim,ancho,apollo,arbol,bell,bhut jolokia,bird,calabrian,capsicum,carolina reaper,cayenne,cherry,chili,chipotle,chocolate bhutlah,datil,fatalli,fijian bongo,fresno,guajillo,habanero,hatari,jalapeno,jigsaw,manzano,pasilla,peach,pepperoncini,pepperx,piquin,primo,scorpion,scotch bonnet,serrano,sivathei,tabasco,tepin,with_chili,with_cayenne,with_habanero,totalpepperpersauce
0,13 Angry Scorpions Jekyll & Hyde Scorpion Chipotle Hot Sauce,13 Angry Scorpions,"Moruga Scorpion peppers, Smoked Chipotle peppers, apple cider vinegar, white vinegar, garlic, ginger, lemon juice, tomato paste, brown sugar, onion, mustard powder, paprica, sea salt",109000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1,Adoboloco Fiya! Fiya! Hot Sauce,Adoboloco,"Apple cider vinegar, jalapeno, dried Trinidad scorpion, habanero, ghost, sea salt, garlic ",77000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
2,Adoboloco Hawaiian Hot Sauce Hamajang Kiawe Smoked Ghost Pepper,Adoboloco,"Apple Cider Vinegar, Ghost Peppers, Habanero, Sea Salt, Garlic",32000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
3,Adoboloco Island Wings Hot Sauce,Adoboloco,"Pineapple, chili pepper, red wine vinegar, honey, onion powder, nutritional yeast, sea salt, mustard seed powder, spices",5500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,Adoboloco Kolohe Kid Hot Sauce,Adoboloco,"Apple Cider Vinegar, Ghost Peppers, Sea Salt, Garlic",61000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Angry Goat Dreams of Calypso Hot Sauce,Angry Goat Pepper Co.,"Pineapple, Mango, Yellow Scotch Bonnets, Lime Juice, Distilled Vinegar, Prepared Yellow Mustard (distilled vinegar, #1 mustard seeds, salt, turmeric, and spices), Carrots, Yellow Bell Peppers, Cane Sugar, Sea Salt, Granulated Garlic, Allspice.",101000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
6,Angry Goat Hippy Dippy Green Hot Sauce,Angry Goat Pepper Co.,"Fire Roasted Jalapeno Peppers, Fire Roasted Serrano Peppers, Water, Lime Juice, Fire Roasted Tomatillos, Kiwi Fruit, Agave Nectar, Avocado, Tequila, Olive Oil, Granulated Garlic, Sea Salt, Onion Powder, Cumin, Black Pepper, Fresh Cilantro.",2300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
7,Angry Goat Pepper Co. Goat Rider Hot Sauce,Angry Goat Pepper Co.,"Balsamic Vinegar (wine vinegar, concentrated grape must, caramel color), Cayenne Pepper Mash (cayenne peppers, salt), Vermont Maple Syrup, Roasted Red Pepper (roasted red bell peppers, water, citric acid & salt), Molasses, Garlic Powder, Apple Cider Vinegar, Ghost Pepper Mash (ghost peppers, distilled vinegar), Smoked Paprika, Ghost Pepper Powder.",43500,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,Angry Goat Pepper Co. The Phoenix Hot Sauce,Angry Goat Pepper Co.,"Cantaloupe melon, distilled white vinegar, lime juice, yellow Scotch Bonnet mash (peppers, vinegar), orange blossom honey, peaches, sweet onions, olive oil, ginger root, datil pepper powder, salt, garlic powder",39000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
9,Blair's Mega Death Sauce,Blair's,"Red Habanero Pods, Cayenne Chilies, White Vinegar, Natural Pepper Flavor (contains soybean oil) Ancho Chilies, Chipotle Chilies, Molasses, Guava Nectar, Fresh Ginger, Salt, Spices.",550000,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
10,Blair's Original Death Sauce with Chipotle,Blair's,"Red Ripe Habaneros, Fiery Cayenne Chilies, Sticky Chipolte, Key Lime Juice, Smashed Garlic.",30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
11,Bravado Spice Company Aka Miso Ghost-Reaper Hot Sauce,Bravado Spice Company,"Ghost Pepper, Carolina Reaper, Rice Wine Vinegar, Aka Miso, Soy Sauce, Sesame Oil, Togarashi, Salt.",116000,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,Bravado Spice Company Black Garlic Carolina Reaper Hot Sauce,Bravado Spice Company,"Vinegar, Red Serrano, Carolina Reaper, Roasted Garlic, Maple Syrup, Black Garlic, Black Pepper, Sea Salt .",71000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
13,Bravado Spice Company Ghost Pepper and Blueberry Hot Sauce,Bravado Spice Company,"Blueberry, Raspberry, Distilled Vinegar, Ghost Pepper, Ground Black Pepper, Sea Salt & Xanthan Gum",28000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Brooklyn Delhi Ghost Pepper Hot Sauce,Brooklyn Delhi,"Tomatoes, water, ghost peppers, tomato paste, sunflower oil, sesame oil, garlic, vinegar, spices (including turmeric), salt, tamarind",39000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Bunsters Black Label Hot Sauce,Bunsters,"Orange Juice, Scorpion Peppers, Bird's Eye Peppers, Brown Onions, Garlic, Apple Cider Vinegar, Coconut Sugar, Cilantro, Lime Juice, Ginger, Salt, Goji Berries, Potato Starch, Himalayan Pink Salt.",99000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
16,Burns & McCoy Exhorresco Hot Sauce,Burns & McCoy,"7 Pot Primo Peppers, Oak Aged Apple Cider Vinegar, Agave Nectar, Yuzu Juice, Black Garlic, Salt, Spices.",625000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
17,Burns & McCoy Mezcaline Oaxacan Hot Sauce,Burns & McCoy,"fire roasted tomato (vine ripened tomatoes, tomato juice, salt, citric acid), red jalapeno mash (peppers, vinegar), water, orange habanero mash (peppers, vinegar), garlic, onion, brown sugar, vinegar, mezcal, olive oil, salt, espresso, rose water, lime juice, cocoa powder, oregano, chocolate bhutlah pepper powder, chocolate ghost pepper powder, thyme, cinnamon.",16600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
18,Butterfly Bakery of Vermont Maple Wood Smoked Onion Hot Sauce,Butterfly Bakery of Vermont,"Red jalapeños, organic white vinegar, maple wood smoked onions, salt",7900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Butterfly Bakery of Vermont Taco Vibes Only Hot Sauce,Butterfly Bakery of Vermont,"Organic distilled white vinegar, red serrano, reaper peppers, lime juice, ghost peppers, garlic scapes, salt, reaper pepper powder, coriander, cumin",638000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
20,Cantina Royal Tamaulipeka Hot Sauce,Cantina Royal,"Non-gmo corn oil, chili peppers, tamarind concentrate (tamarind pulp, water, maple sugar), distilled white vinegar reduced to 4% acidity, garlic, celery, onion, salt",4200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
21,Cantina Royal Tomasa Spicy Habanero & Manzano Chile Hot Sauce,Cantina Royal,"non-gmo corn oil, manzano peppers, habanero peppers, garlic, onion, celery, salt.",18000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
22,Chile Lengua De Fuego Bhutila Fire Hot Sauce,Chile Lengua De Fuego,"Smoked scotch bonnet pepper mash (scotch bonnet, white vinegar), bitter orange, jalapeno pepper mash (jalapeno, white vinegar), cilantro, salt, super hot pepper mash (chocolate ghost pepper, zing, Trinidad scorpion, white vinegar), spice, smoked garlic, pepper powder mix (chipotle, scotch bonnet, Trinidad Scorpion)",118000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6
23,Chile Lengua De Fuego Turmeric Bomb Hot Sauce,Chile Lengua De Fuego,"Scotch bonnet pepper mash (Scotch bonnet pepper and vinegar), chocolate ghost pepper mash (chocolate bhut jolokia pepper and vinegar), jalapeno pepper mash (jalapeno pepper and vinegar), honduran hard liquor, apple cider vinegar, extra virgin olive oil, ginger root, turmeric, garlic, super hot pepper mash (Carolina Reaper and Trinidad Scorpion peppers and vinegar), spices, salt",69000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6
24,Chile Monoloco Pierde Almas Hot Sauce,Chile Monoloco,"Hot peppers, water, lemon, sunflower oil, garlic, herbs, salt, spices",665000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cholula Original Hot Sauce,Cholula,"Water, Arbol Peppers, Piquin Peppers, Salt, Vinegar, Garlic Powder, Spices and Xanthan Gum",3600,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
26,Clark & Hopkins Calabria Hot Sauce,Clark & Hopkins,"Red bell peppers, water, red wine vinegar, garlic, onion, red habanero peppers (red habanero peppers, white vinegar), black olives, sun-dried tomatoes, red jalapeno peppers, diced tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), calabrian chili pepper flakes, raisins, salt, shitake mushroom powder, spices",15700,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
27,Clark and Hopkins Assam Hot Sauce,Clark & Hopkins,"apple cider vinegar, tomatoes, onion, garlic, ginger, water, 7 pot primo peppers, ghost peppers, tamarind, black mustard seed, salt, turbinado sugar, spices.",55000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
28,Crystal Hot Sauce,Crystal,"aged red cayenne peppers, distilled white vinegar, and salt",3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,Culley's Fire Water Hot Sauce,Culley's,"Smokin' Ed's Carolina Reaper, Trinidad Scorpion Butch T, Capsicum, White Wine Vinegar, Lime Juice, Mexican Tequila, Palm Sugar, Onions, Ginger, Garlic, Salt, Pepper.",112000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
