,Pepper Names,Total Occurances,% of Occurances
0,7-pot,7,5.2
1,adobo,1,0.7
2,aji,1,0.7
3,aka,1,0.7
4,amarillo,1,0.7
5,anaheim,1,0.7
6,ancho,2,1.5
7,apollo,1,0.7
8,arbol,3,2.2
9,bell,13,9.6
10,bhut jolokia,34,25.2
11,bird,1,0.7
12,calabrian,1,0.7
13,capsicum,1,0.7
14,carolina reaper,19,14.1
15,cayenne,12,8.9
16,cherry,1,0.7
17,chili,33,24.4
18,chipotle,15,11.1
19,chocolate bhutlah,10,7.4
20,datil,1,0.7
21,fatalli,1,0.7
22,fijian bongo,1,0.7
23,fresno,1,0.7
24,guajillo,2,1.5
25,habanero,46,34.1
26,hatari,1,0.7
27,jalapeno,20,14.8
28,jigsaw,1,0.7
29,manzano,1,0.7
30,pasilla,2,1.5
31,peach,3,2.2
32,pepperoncini,1,0.7
33,pepperx,3,2.2
34,piquin,2,1.5
35,primo,4,3.0
36,scorpion,22,16.3
37,scotch bonnet,11,8.1
38,serrano,9,6.7
39,sivathei,1,0.7
40,tabasco,1,0.7
41,tepin,1,0.7
